record_id,name,category,region,year,score,value
1000129,Ayse Celik,electronics,Southeast,2019,83,1764
1000130,Burak Kaya,electronics,Southeast,2024,48,3461
1000131,Yigit Yaman,books,Mediterranean,2019,83,1131
1000132,Melis Yaman,toys,Marmara,2020,51,4526
1000133,Irem Arslan,toys,Black Sea,2025,40,4622
1000134,Yigit Kaya,books,Aegean,2020,42,4835
1000135,Derya Yilmaz,sports,Mediterranean,2021,50,1735
1000136,Ece Tekin,toys,Marmara,2025,53,4146
1000137,Mert Kurt,home,Southeast,2021,57,3656
1000138,Ece Celik,grocery,Aegean,2024,99,2766
1000139,Can Gunes,fashion,Aegean,2020,84,1032
1000140,Ayse Polat,electronics,Southeast,2020,69,1182
1000141,Emre Tekin,electronics,Aegean,2025,93,742
1000142,Burak Sahin,sports,Southeast,2022,92,3774
1000143,Elif Arslan,electronics,Aegean,2025,40,4324
1000144,Derya Yaman,home,Central Anatolia,2024,64,4794
1000145,Zeynep Gunes,fashion,Central Anatolia,2021,52,4816
1000146,Ayse Polat,electronics,Marmara,2021,47,769
1000147,Zeynep Aydin,fashion,Central Anatolia,2019,71,640
1000148,Asli Kurt,fashion,Marmara,2020,81,821
1000149,Deniz Aydin,books,Central Anatolia,2022,70,1193
1000150,Elif Tas,electronics,Black Sea,2018,83,1814
1000151,Elif Aksoy,electronics,Central Anatolia,2021,56,3760
1000152,Ece Kaya,fashion,Mediterranean,2025,82,793
1000153,Asli Aksoy,grocery,Marmara,2020,82,3893
1000154,Emre Sahin,sports,Black Sea,2019,93,2211
1000155,Deniz Kurt,grocery,Marmara,2024,97,3096
1000156,Seda Tekin,electronics,Mediterranean,2019,84,1289
1000157,Yigit Arslan,electronics,Black Sea,2019,67,500
1000158,Seda Tas,sports,Mediterranean,2018,88,2031
1000159,Kerem Sahin,sports,Aegean,2019,98,1498
1000160,Irem Arslan,home,Southeast,2021,54,2773
1000161,Asli Aydin,grocery,Aegean,2021,86,1459
1000162,Mert Aydin,fashion,Mediterranean,2025,73,2119
1000163,Deniz Aydin,sports,Central Anatolia,2025,89,4424
1000164,Mert Kurt,home,Marmara,2024,43,1119
1000165,Deniz Yaman,grocery,Southeast,2020,41,1141
1000166,Asli Polat,grocery,Aegean,2018,66,3120
1000167,Can Arslan,home,Southeast,2018,44,2145
1000168,Zeynep Kaya,books,Marmara,2020,98,3560
1000169,Irem Aydin,home,Marmara,2019,77,1039
1000170,Zeynep Arslan,grocery,Mediterranean,2025,53,2708
1000171,Mert Yilmaz,books,Marmara,2023,44,2052
1000172,Irem Tekin,electronics,Aegean,2021,78,2335
1000173,Mert Kurt,fashion,Marmara,2019,45,2906
1000174,Ece Yaman,toys,Southeast,2022,55,3264
1000175,Yigit Kurt,fashion,Black Sea,2020,65,1928
1000176,Can Celik,sports,Southeast,2025,64,4483
1000177,Seda Sahin,grocery,Mediterranean,2023,54,1385
1000178,Elif Arslan,toys,Marmara,2023,41,2692
1000179,Mert Arslan,grocery,Mediterranean,2023,82,2190
1000180,Asli Kurt,books,Marmara,2025,84,2635
1000181,Derya Yaman,electronics,Aegean,2023,95,2289
1000182,Burak Arslan,toys,Central Anatolia,2025,82,3576
1000183,Melis Arslan,grocery,Southeast,2021,51,2107
1000184,Seda Arslan,home,Black Sea,2019,49,1758
1000185,Burak Aksoy,books,Southeast,2019,96,916
1000186,Deniz Arslan,fashion,Marmara,2018,41,1631
1000187,Deniz Kaya,fashion,Marmara,2018,95,2744
1000188,Mert Yaman,fashion,Southeast,2023,78,3494
1000189,Elif Tekin,fashion,Mediterranean,2024,90,2102
1000190,Can Kurt,books,Central Anatolia,2024,49,2606
1000191,Burak Yaman,sports,Black Sea,2018,99,2864
1000192,Deniz Aksoy,toys,Marmara,2021,47,1773
1000193,Can Polat,fashion,Black Sea,2023,47,4543
1000194,Can Kaya,grocery,Central Anatolia,2024,93,1396
1000195,Ayse Aksoy,electronics,Southeast,2022,95,3744
1000196,Yigit Celik,books,Southeast,2023,89,2045
1000197,Ayse Tas,books,Aegean,2025,85,1402
1000198,Derya Tas,fashion,Aegean,2021,82,1969
1000199,Kerem Celik,sports,Aegean,2022,58,3006
1000200,Melis Yaman,fashion,Southeast,2023,92,4499
1000201,Elif Arslan,grocery,Central Anatolia,2020,96,670
1000202,Elif Aksoy,toys,Marmara,2023,42,1163
1000203,Ayse Tas,fashion,Southeast,2024,69,2323
1000204,Asli Yilmaz,grocery,Central Anatolia,2023,75,4342
1000205,Asli Yaman,grocery,Marmara,2019,99,4426
1000206,Can Polat,electronics,Aegean,2021,48,2168
1000207,Asli Arslan,fashion,Marmara,2019,65,2374
1000208,Derya Sahin,books,Southeast,2020,71,3312
1000209,Ayse Aydin,electronics,Central Anatolia,2020,89,1296
1000210,Can Polat,electronics,Mediterranean,2024,40,3191
1000211,Irem Tekin,electronics,Marmara,2020,44,4834
1000212,Irem Demir,toys,Southeast,2018,46,3229
1000213,Ayse Polat,books,Mediterranean,2021,71,4563
1000214,Emre Polat,sports,Southeast,2022,96,1125
1000215,Emre Polat,toys,Marmara,2020,66,846
1000216,Melis Aydin,sports,Black Sea,2025,56,1094
1000217,Burak Polat,electronics,Black Sea,2023,52,1914
1000218,Derya Demir,toys,Aegean,2023,48,1565
1000219,Seda Kurt,home,Central Anatolia,2023,75,1072
1000220,Yigit Arslan,sports,Black Sea,2022,67,2346
1000221,Melis Sahin,grocery,Southeast,2024,41,3636
1000222,Emre Kaya,home,Southeast,2022,96,2437
1000223,Mert Aydin,home,Central Anatolia,2023,82,3429
1000224,Kerem Yaman,books,Black Sea,2020,82,2525
1000225,Asli Arslan,toys,Southeast,2023,66,528
1000226,Asli Gunes,grocery,Aegean,2025,97,2126
1000227,Ayse Polat,home,Black Sea,2020,56,3734
1000228,Emre Demir,electronics,Aegean,2020,47,3574
1000229,Kerem Sahin,sports,Central Anatolia,2019,99,526
1000230,Ece Celik,electronics,Mediterranean,2025,40,3682
1000231,Irem Tas,books,Black Sea,2021,57,4112
1000232,Ece Kurt,grocery,Marmara,2020,75,2894
1000233,Asli Aydin,toys,Marmara,2018,84,1612
1000234,Ece Gunes,fashion,Southeast,2023,46,4470
1000235,Ece Arslan,sports,Black Sea,2022,96,3302
1000236,Emre Kurt,toys,Mediterranean,2023,50,1272
1000237,Emre Yilmaz,home,Marmara,2020,44,1614
1000238,Zeynep Aksoy,sports,Southeast,2019,51,3810
1000239,Elif Demir,home,Black Sea,2022,88,2802
1000240,Deniz Polat,grocery,Marmara,2024,87,4584
1000241,Derya Kurt,home,Black Sea,2025,92,3553
1000242,Derya Polat,books,Central Anatolia,2025,61,1455
1000243,Zeynep Polat,books,Central Anatolia,2018,93,4238
1000244,Melis Polat,toys,Aegean,2022,61,3433
1000245,Seda Aydin,sports,Central Anatolia,2018,79,1697
1000246,Ece Celik,grocery,Central Anatolia,2021,87,4934
1000247,Can Aydin,fashion,Black Sea,2020,81,1867
1000248,Zeynep Demir,home,Central Anatolia,2018,89,2230
1000249,Ayse Aydin,fashion,Marmara,2024,87,4312
1000250,Can Tekin,electronics,Aegean,2019,96,4970
1000251,Elif Gunes,sports,Southeast,2020,83,2087
1000252,Can Kaya,fashion,Mediterranean,2018,50,788
1000253,Melis Kaya,fashion,Aegean,2023,98,3693
1000254,Irem Yaman,books,Central Anatolia,2022,91,3438
1000255,Deniz Celik,grocery,Black Sea,2025,42,2272
1000256,Zeynep Tekin,electronics,Black Sea,2025,99,2461
1000257,Burak Sahin,grocery,Aegean,2019,49,2502
1000258,Emre Celik,toys,Southeast,2021,100,3075
1000259,Seda Gunes,home,Aegean,2025,74,3149
1000260,Deniz Demir,toys,Central Anatolia,2019,56,3149
1000261,Kerem Kaya,electronics,Mediterranean,2024,48,1815
1000262,Deniz Sahin,electronics,Central Anatolia,2023,96,4119
1000263,Mert Yaman,sports,Aegean,2024,52,4300
1000264,Seda Demir,sports,Southeast,2020,55,1183
1000265,Ayse Yilmaz,fashion,Mediterranean,2022,83,4176
1000266,Deniz Yilmaz,books,Marmara,2023,89,2310
1000267,Seda Aksoy,fashion,Marmara,2022,86,3482
1000268,Derya Polat,grocery,Southeast,2021,55,3601
1000269,Melis Tas,electronics,Black Sea,2023,73,3370
1000270,Can Tas,fashion,Black Sea,2022,73,4000
1000271,Ayse Arslan,grocery,Central Anatolia,2020,81,3902
1000272,Burak Kurt,books,Southeast,2021,96,4083
1000273,Kerem Gunes,fashion,Central Anatolia,2022,91,848
1000274,Deniz Kaya,fashion,Black Sea,2025,100,1360
1000275,Deniz Demir,fashion,Mediterranean,2019,82,2754
1000276,Derya Polat,toys,Southeast,2020,97,4874
1000277,Ayse Yilmaz,books,Southeast,2021,77,832
1000278,Can Tekin,grocery,Southeast,2020,55,1799
1000279,Melis Tekin,books,Marmara,2020,78,2703
1000280,Kerem Celik,toys,Aegean,2020,93,2356
1000281,Zeynep Tekin,grocery,Marmara,2022,64,1145
1000282,Deniz Yaman,sports,Black Sea,2020,40,1861
1000283,Deniz Tas,home,Central Anatolia,2018,53,2738
1000284,Ayse Polat,toys,Marmara,2019,82,2008
1000285,Zeynep Celik,electronics,Central Anatolia,2025,56,2139
1000286,Irem Arslan,books,Marmara,2020,93,2253
1000287,Seda Demir,toys,Black Sea,2018,88,3746
1000288,Seda Yaman,books,Mediterranean,2020,49,1299
1000289,Zeynep Polat,electronics,Mediterranean,2025,71,1750
1000290,Kerem Polat,fashion,Mediterranean,2022,99,4943
1000291,Deniz Celik,books,Black Sea,2020,55,4978
1000292,Derya Aksoy,books,Southeast,2024,42,3253
1000293,Deniz Yaman,home,Marmara,2022,74,4152
1000294,Deniz Sahin,electronics,Aegean,2024,57,1452
1000295,Irem Tekin,sports,Black Sea,2025,94,3417
1000296,Seda Yaman,books,Black Sea,2023,75,3550
1000297,Zeynep Aksoy,home,Mediterranean,2025,52,3251
1000298,Yigit Kaya,grocery,Mediterranean,2025,52,4380
1000299,Emre Gunes,sports,Mediterranean,2024,56,1928
1000300,Deniz Celik,fashion,Aegean,2022,60,1988
1000301,Melis Kaya,books,Central Anatolia,2022,62,4491
1000302,Deniz Celik,toys,Aegean,2019,75,1495
1000303,Ayse Arslan,home,Aegean,2020,48,2705
1000304,Seda Gunes,electronics,Marmara,2018,65,4679
1000305,Mert Celik,toys,Aegean,2019,95,1706
1000306,Kerem Tekin,fashion,Central Anatolia,2021,61,3710
1000307,Burak Celik,books,Black Sea,2019,76,2934
1000308,Kerem Gunes,grocery,Black Sea,2018,96,734
1000309,Deniz Aksoy,sports,Black Sea,2019,68,1719
1000310,Deniz Kurt,electronics,Mediterranean,2020,93,1601
1000311,Zeynep Celik,sports,Aegean,2020,46,2490
1000312,Ece Demir,sports,Central Anatolia,2023,59,655
1000313,Melis Celik,books,Southeast,2019,47,4779
1000314,Asli Tas,home,Black Sea,2018,62,4822
1000315,Melis Aydin,books,Southeast,2020,90,1779
1000316,Kerem Yilmaz,fashion,Aegean,2023,87,3626
1000317,Ayse Tekin,home,Aegean,2019,71,2773
1000318,Burak Aksoy,sports,Black Sea,2020,72,2884
1000319,Deniz Aksoy,sports,Central Anatolia,2021,94,4615
1000320,Zeynep Demir,home,Central Anatolia,2018,85,564
1000321,Burak Arslan,home,Aegean,2018,93,1003
1000322,Burak Tas,toys,Black Sea,2023,72,3948
1000323,Seda Tekin,fashion,Black Sea,2025,45,1426
1000324,Ece Tekin,grocery,Mediterranean,2021,46,2054
1000325,Deniz Polat,grocery,Central Anatolia,2023,50,1042
1000326,Ayse Polat,books,Black Sea,2025,83,2393
1000327,Can Aksoy,grocery,Marmara,2022,98,3542
1000328,Deniz Tekin,home,Central Anatolia,2022,77,993
1000329,Elif Tas,books,Marmara,2024,78,1337
1000330,Yigit Polat,fashion,Aegean,2024,56,792
1000331,Ece Celik,sports,Marmara,2021,68,1646
1000332,Deniz Aydin,fashion,Black Sea,2018,75,3801
1000333,Ece Arslan,books,Central Anatolia,2020,52,4748
1000334,Ece Celik,fashion,Black Sea,2022,98,3570
1000335,Yigit Demir,books,Southeast,2019,87,1680
1000336,Irem Demir,fashion,Southeast,2022,90,3117
1000337,Derya Yilmaz,home,Central Anatolia,2019,47,2759
1000338,Kerem Gunes,electronics,Southeast,2024,42,887
1000339,Kerem Arslan,grocery,Black Sea,2023,98,1478
1000340,Seda Demir,sports,Aegean,2021,50,2439
1000341,Mert Aydin,grocery,Southeast,2022,75,1375
1000342,Emre Tekin,toys,Aegean,2021,50,1753
1000343,Elif Kaya,fashion,Mediterranean,2024,77,3396
1000344,Kerem Yaman,toys,Southeast,2024,42,4871
1000345,Melis Yilmaz,fashion,Central Anatolia,2021,58,1231
1000346,Elif Polat,sports,Marmara,2023,47,2691
1000347,Zeynep Polat,home,Southeast,2019,87,2820
1000348,Irem Yilmaz,electronics,Aegean,2025,40,4907
1000349,Burak Kaya,electronics,Central Anatolia,2023,76,1522
1000350,Can Sahin,grocery,Marmara,2025,60,1771
1000351,Melis Yaman,toys,Aegean,2018,53,1599
1000352,Melis Kaya,sports,Central Anatolia,2020,70,4036
1000353,Kerem Arslan,toys,Black Sea,2019,47,3195
1000354,Irem Aydin,toys,Mediterranean,2018,45,1139
1000355,Burak Demir,toys,Aegean,2018,79,1214
1000356,Seda Demir,toys,Central Anatolia,2024,92,4698
1000357,Ece Demir,fashion,Black Sea,2020,95,4607
1000358,Seda Yaman,toys,Southeast,2024,97,914
1000359,Emre Yilmaz,fashion,Central Anatolia,2021,73,951
1000360,Mert Gunes,books,Mediterranean,2022,54,1656
1000361,Ayse Tas,toys,Southeast,2023,63,2879
1000362,Irem Gunes,home,Central Anatolia,2022,48,3618
1000363,Ece Aksoy,sports,Central Anatolia,2021,78,3087
1000364,Elif Aydin,books,Mediterranean,2023,86,976
1000365,Derya Yilmaz,toys,Black Sea,2019,78,2181
1000366,Can Yilmaz,home,Marmara,2021,100,3529
1000367,Ece Sahin,sports,Central Anatolia,2023,79,1504
1000368,Kerem Yaman,grocery,Aegean,2020,67,4925
1000369,Elif Arslan,fashion,Mediterranean,2024,96,4291
1000370,Asli Yilmaz,home,Central Anatolia,2020,47,3249
1000371,Elif Aksoy,grocery,Southeast,2022,63,895
1000372,Ece Sahin,toys,Mediterranean,2019,56,4489
1000373,Elif Yaman,fashion,Mediterranean,2023,66,2730
1000374,Seda Aydin,fashion,Black Sea,2023,89,1125
1000375,Melis Polat,books,Aegean,2024,82,3755
1000376,Mert Celik,books,Central Anatolia,2023,89,2099
1000377,Deniz Sahin,toys,Mediterranean,2019,75,3211
1000378,Mert Kaya,fashion,Mediterranean,2024,77,1531
1000379,Emre Sahin,fashion,Aegean,2021,76,3899
1000380,Burak Yilmaz,electronics,Marmara,2024,60,3295
1000381,Emre Kurt,grocery,Aegean,2022,74,3361
1000382,Asli Yilmaz,sports,Southeast,2018,50,2369
1000383,Can Aksoy,fashion,Southeast,2018,46,1026
1000384,Irem Tekin,grocery,Central Anatolia,2018,61,3447
1000385,Yigit Aydin,toys,Aegean,2025,57,4221
1000386,Emre Celik,toys,Black Sea,2021,85,511
1000387,Burak Aksoy,home,Central Anatolia,2024,63,3184
1000388,Deniz Aydin,grocery,Aegean,2019,47,804
1000389,Ayse Aksoy,home,Marmara,2020,88,634
1000390,Elif Yilmaz,fashion,Central Anatolia,2024,76,3683
1000391,Ayse Aydin,electronics,Central Anatolia,2019,42,523
1000392,Derya Yilmaz,books,Black Sea,2018,47,661
1000393,Asli Yilmaz,electronics,Southeast,2018,83,1770
1000394,Yigit Aydin,grocery,Central Anatolia,2024,93,1940
1000395,Irem Aydin,sports,Southeast,2022,86,3901
1000396,Deniz Sahin,electronics,Central Anatolia,2019,76,4566
1000397,Seda Tekin,electronics,Marmara,2020,52,1209
1000398,Kerem Yaman,toys,Aegean,2025,40,1402
1000399,Emre Tas,books,Mediterranean,2023,45,2690
1000400,Irem Sahin,sports,Marmara,2022,53,1070
1000401,Ece Aksoy,home,Mediterranean,2024,64,2496
1000402,Asli Arslan,toys,Central Anatolia,2019,66,4163
1000403,Zeynep Gunes,sports,Southeast,2024,66,822
1000404,Ayse Celik,sports,Mediterranean,2022,54,2824
1000405,Irem Tas,books,Southeast,2024,97,4117
1000406,Kerem Tas,sports,Mediterranean,2024,90,2003
1000407,Ayse Demir,grocery,Southeast,2024,53,987
1000408,Derya Yilmaz,fashion,Central Anatolia,2023,47,3198
1000409,Irem Demir,sports,Marmara,2022,82,4300
1000410,Kerem Gunes,home,Mediterranean,2023,40,2592
1000411,Melis Kurt,toys,Mediterranean,2021,43,1919
1000412,Emre Kaya,grocery,Aegean,2025,46,1500
1000413,Can Aksoy,sports,Mediterranean,2020,73,4567
1000414,Irem Kurt,sports,Aegean,2021,50,2577
1000415,Ece Celik,sports,Black Sea,2018,85,657
1000416,Kerem Yilmaz,books,Central Anatolia,2021,83,3999
1000417,Deniz Yilmaz,sports,Black Sea,2021,93,4850
1000418,Seda Tas,toys,Southeast,2019,52,4124
1000419,Ece Polat,fashion,Mediterranean,2018,46,4995
1000420,Derya Arslan,electronics,Central Anatolia,2025,52,4017
1000421,Mert Sahin,sports,Black Sea,2023,56,3567
1000422,Ece Arslan,toys,Southeast,2022,72,2003
1000423,Burak Celik,books,Central Anatolia,2025,82,2847
1000424,Yigit Celik,toys,Aegean,2019,88,4362
1000425,Kerem Aksoy,electronics,Marmara,2021,99,1569
1000426,Ayse Celik,toys,Central Anatolia,2020,75,4007
1000427,Can Arslan,grocery,Southeast,2018,43,1334
1000428,Deniz Aydin,sports,Central Anatolia,2023,67,876
1000429,Zeynep Yilmaz,books,Aegean,2021,65,4410
1000430,Seda Yaman,books,Mediterranean,2020,63,532
1000431,Irem Arslan,sports,Mediterranean,2021,41,2384
1000432,Ayse Celik,electronics,Central Anatolia,2025,66,664
1000433,Zeynep Tekin,electronics,Southeast,2019,53,522
1000434,Kerem Polat,toys,Mediterranean,2024,50,716
1000435,Emre Tekin,fashion,Black Sea,2020,52,3990
1000436,Zeynep Polat,books,Marmara,2022,80,4089
1000437,Melis Demir,grocery,Mediterranean,2022,45,2100
1000438,Elif Tas,grocery,Central Anatolia,2023,89,2520
1000439,Deniz Aydin,electronics,Aegean,2022,52,677
1000440,Elif Arslan,grocery,Aegean,2022,61,2143
1000441,Emre Aydin,books,Aegean,2020,74,1094
1000442,Irem Arslan,toys,Aegean,2018,41,1453
1000443,Elif Aydin,home,Black Sea,2025,54,4658
1000444,Mert Yilmaz,electronics,Marmara,2022,45,1732
1000445,Asli Yilmaz,electronics,Mediterranean,2018,61,1863
1000446,Asli Aydin,grocery,Southeast,2024,67,4416
1000447,Can Gunes,toys,Black Sea,2025,58,3872
1000448,Ece Yaman,electronics,Marmara,2024,92,4198
1000449,Asli Tekin,home,Marmara,2025,77,1907
1000450,Mert Tas,grocery,Central Anatolia,2024,83,1089
1000451,Asli Tekin,toys,Mediterranean,2020,67,2423
1000452,Asli Yilmaz,toys,Marmara,2019,69,2574
1000453,Asli Aydin,fashion,Southeast,2020,93,4781
1000454,Melis Polat,electronics,Aegean,2019,53,3786
1000455,Ece Aksoy,toys,Marmara,2023,40,2725
1000456,Deniz Gunes,fashion,Marmara,2021,87,1038
1000457,Yigit Kaya,toys,Black Sea,2024,53,2149
1000458,Can Kaya,fashion,Aegean,2025,45,4556
1000459,Melis Demir,grocery,Aegean,2023,85,2487
1000460,Derya Sahin,toys,Central Anatolia,2025,53,4214
1000461,Kerem Demir,grocery,Mediterranean,2018,76,2265
1000462,Derya Yilmaz,electronics,Black Sea,2024,89,3980
1000463,Derya Tekin,toys,Southeast,2019,65,639
1000464,Elif Yaman,sports,Black Sea,2021,51,1171
1000465,Irem Gunes,books,Aegean,2020,47,1608
1000466,Kerem Kurt,home,Black Sea,2022,58,1915
1000467,Irem Kurt,fashion,Mediterranean,2024,64,1169
1000468,Yigit Kurt,grocery,Aegean,2020,79,3464
1000469,Melis Tas,sports,Central Anatolia,2021,89,3532
1000470,Seda Yilmaz,sports,Southeast,2022,81,1071
1000471,Zeynep Celik,sports,Mediterranean,2024,54,1352
1000472,Emre Sahin,books,Mediterranean,2020,79,4607
1000473,Can Tekin,home,Aegean,2025,47,2317
1000474,Melis Yaman,fashion,Marmara,2023,64,1361
1000475,Asli Polat,home,Black Sea,2025,71,3407
